CreatedDate,Pm2.5,Pm10
25-04-2024 04:00,92,276
25-04-2024 05:00,85.25,242.25
25-04-2024 06:00,98.5,267
25-04-2024 07:00,93.5,286.75
25-04-2024 08:00,101.25,352.25
25-04-2024 09:00,99.5,356.25
25-04-2024 10:00,94,321.75
25-04-2024 11:00,84.5,314.75
25-04-2024 12:00,38.25,202
25-04-2024 13:00,36,188
25-04-2024 14:00,23.5,179.25
25-04-2024 15:00,12,166.5
25-04-2024 16:00,8.5,144
25-04-2024 17:00,7.5,116.75
25-04-2024 18:00,9.75,119.25
25-04-2024 19:00,14,150
25-04-2024 20:00,27.75,260
25-04-2024 21:00,56.25,398
25-04-2024 22:00,71.25,377.5
25-04-2024 23:00,69,329.5
26-04-2024 00:00,66,271.5
26-04-2024 01:00,62.5,233.75
26-04-2024 02:00,84,285
26-04-2024 03:00,88.25,278
26-04-2024 04:00,54.75,183.5
26-04-2024 05:00,49.75,150.75
26-04-2024 06:00,51.5,173
26-04-2024 07:00,70.25,272
26-04-2024 08:00,74.25,329.25
26-04-2024 09:00,61.25,315.75
26-04-2024 10:00,46.25,316.5
26-04-2024 11:00,42.5,259.5
26-04-2024 12:00,34.75,176.25
26-04-2024 13:00,25.75,161.25
26-04-2024 14:00,27,166
26-04-2024 15:00,25,135.75
26-04-2024 16:00,27.75,141.25
26-04-2024 17:00,26.25,140.5
26-04-2024 18:00,24.75,158
26-04-2024 19:00,23.25,257.75
26-04-2024 20:00,18.75,528.75
26-04-2024 21:00,37.75,264.25
26-04-2024 22:00,37,134
26-04-2024 23:00,45,146.25
27-04-2024 00:00,42.5,154
27-04-2024 01:00,40.25,159.5
27-04-2024 02:00,29,109.75
27-04-2024 03:00,34.75,110
27-04-2024 04:00,57.25,151
27-04-2024 05:00,70,182.25
27-04-2024 06:00,62.5,181
27-04-2024 07:00,65.5,192.25
27-04-2024 08:00,58.25,195.75
27-04-2024 09:00,47.25,214
27-04-2024 10:00,40.75,258.25
27-04-2024 11:00,47.5,380.75
27-04-2024 12:00,48,352.5
27-04-2024 13:00,34.5,263.25
27-04-2024 14:00,32,228.25
27-04-2024 15:00,37.5,260.75
27-04-2024 16:00,35.25,253.25
27-04-2024 17:00,33.5,283.75
27-04-2024 18:00,37.75,333.75
27-04-2024 19:00,44.75,356
