CreatedDate,pm25_Lakshmi K: Living room,pm10_Lakshmi K: Living room,aqi_Lakshmi K: Living room
04-05-2024 05:00,292,532,528
04-05-2024 05:15,294,532,528
04-05-2024 05:30,311,546,545
04-05-2024 05:45,342,566,570
04-05-2024 06:00,326,556,558
04-05-2024 06:15,317,550,550
04-05-2024 06:30,326,556,558
04-05-2024 06:45,293,532,528
04-05-2024 07:00,269,507,496
04-05-2024 07:15,267,505,494
04-05-2024 07:30,254,491,476
04-05-2024 07:45,243,479,461
04-05-2024 08:00,245,480,462
04-05-2024 08:15,255,493,479
04-05-2024 08:30,249,486,470
04-05-2024 08:45,226,458,435
04-05-2024 09:00,194,417,384
04-05-2024 09:15,176,392,352
04-05-2024 09:30,171,387,346
04-05-2024 09:45,204,429,399
04-05-2024 10:00,225,457,434
04-05-2024 10:15,199,424,392
04-05-2024 10:30,179,398,360
04-05-2024 10:45,135,343,312
04-05-2024 11:00,126,328,305
04-05-2024 11:15,114,308,280
04-05-2024 11:30,113,307,277
04-05-2024 11:45,112,305,273
04-05-2024 12:00,105,294,250
04-05-2024 12:15,88,272,222
04-05-2024 12:30,78,257,207
04-05-2024 12:45,70,235,190
04-05-2024 13:00,73,245,197
04-05-2024 13:15,75,252,202
04-05-2024 13:30,79,260,210
04-05-2024 13:45,79,259,209
04-05-2024 14:00,88,271,221
04-05-2024 14:15,89,272,222
04-05-2024 14:30,83,267,217
04-05-2024 14:45,80,261,211
04-05-2024 15:00,73,245,197
04-05-2024 15:15,66,219,179
04-05-2024 15:30,62,205,170
04-05-2024 15:45,58,186,157
04-05-2024 16:00,61,196,164
04-05-2024 16:15,62,204,169
04-05-2024 16:30,59,188,159
04-05-2024 16:45,54,171,147
04-05-2024 17:00,56,175,150
04-05-2024 17:15,58,184,156
04-05-2024 17:30,56,177,151
04-05-2024 17:45,56,177,151
04-05-2024 18:00,51,158,139
04-05-2024 18:15,47,143,129
04-05-2024 18:30,46,139,126
04-05-2024 18:45,56,177,151
04-05-2024 19:00,56,175,150
04-05-2024 19:15,52,160,140
04-05-2024 19:30,48,144,129
04-05-2024 19:45,47,142,128
04-05-2024 20:00,53,166,144
04-05-2024 20:15,93,276,226
04-05-2024 20:30,86,269,219
04-05-2024 20:45,83,267,217
04-05-2024 21:00,78,258,208
04-05-2024 21:15,76,254,204
04-05-2024 21:30,75,253,203
04-05-2024 21:45,73,250,200
04-05-2024 22:00,86,268,218
04-05-2024 22:15,90,273,223
04-05-2024 22:30,87,271,221
04-05-2024 22:45,85,269,219
04-05-2024 23:00,83,267,217
04-05-2024 23:15,81,265,215
04-05-2024 23:30,82,266,216
04-05-2024 23:45,83,266,216
05-05-2024 00:00,83,267,217
05-05-2024 00:15,81,263,213
05-05-2024 00:30,77,257,207
05-05-2024 00:45,76,254,204
05-05-2024 01:00,73,248,199
05-05-2024 01:15,70,239,193
05-05-2024 01:30,70,236,191
05-05-2024 01:45,72,244,196
05-05-2024 02:00,75,252,202
05-05-2024 02:15,74,250,200
05-05-2024 02:30,74,250,200
05-05-2024 02:45,74,252,202
05-05-2024 03:00,77,256,206
05-05-2024 03:15,77,256,206
05-05-2024 03:30,78,258,208
05-05-2024 03:45,80,262,212
05-05-2024 04:00,81,263,213
05-05-2024 04:15,83,267,217
05-05-2024 04:30,87,270,220
05-05-2024 04:45,99,284,234
05-05-2024 05:00,119,316,297
05-05-2024 05:15,143,354,318
05-05-2024 05:30,168,385,344
05-05-2024 05:45,234,469,449
05-05-2024 06:00,251,489,474
05-05-2024 06:15,261,499,486
05-05-2024 06:30,259,496,482
05-05-2024 06:45,248,484,468
05-05-2024 07:00,240,475,456
05-05-2024 07:15,248,485,469
05-05-2024 07:30,239,474,455
05-05-2024 07:45,240,475,456
05-05-2024 08:00,247,482,465
05-05-2024 08:15,233,466,445
05-05-2024 08:30,245,480,462
05-05-2024 08:45,244,481,464
05-05-2024 09:00,234,467,446
05-05-2024 09:15,229,461,439
05-05-2024 09:30,223,454,430
05-05-2024 09:45,214,444,418
05-05-2024 10:00,201,426,395
05-05-2024 10:15,169,385,344
05-05-2024 10:30,134,340,311
05-05-2024 10:45,109,301,263
05-05-2024 11:00,87,270,220
05-05-2024 11:15,71,238,192
05-05-2024 11:30,66,223,182
05-05-2024 11:45,70,235,190
05-05-2024 12:00,77,255,205
05-05-2024 12:15,77,256,206
05-05-2024 12:30,63,207,171
05-05-2024 12:45,58,187,158
05-05-2024 13:00,57,184,156
05-05-2024 13:15,50,153,135
05-05-2024 13:30,45,135,123
05-05-2024 13:45,42,122,115
05-05-2024 14:00,41,118,112
05-05-2024 14:15,40,113,109
05-05-2024 14:30,38,106,104
05-05-2024 14:45,38,107,105
05-05-2024 15:00,39,112,108
05-05-2024 15:15,39,110,107
05-05-2024 15:30,39,110,107
05-05-2024 15:45,43,125,117
05-05-2024 16:00,44,132,121
05-05-2024 16:15,44,130,120
05-05-2024 16:30,43,128,119
05-05-2024 16:45,42,123,115
05-05-2024 17:00,40,115,110
05-05-2024 17:15,39,112,108
05-05-2024 17:30,42,121,114
05-05-2024 17:45,40,115,110
05-05-2024 18:00,36,101,101
05-05-2024 18:15,37,103,102
05-05-2024 18:30,39,111,107
05-05-2024 18:45,38,108,105
05-05-2024 19:00,38,107,105
05-05-2024 19:15,39,110,107
05-05-2024 19:30,41,119,113
05-05-2024 19:45,67,213,175
05-05-2024 20:00,58,186,157
05-05-2024 20:15,64,208,172
05-05-2024 20:30,72,243,195
05-05-2024 20:45,84,265,215
05-05-2024 21:00,100,285,235
05-05-2024 21:15,96,279,229
05-05-2024 21:30,96,279,229
05-05-2024 21:45,98,282,232
05-05-2024 22:00,101,286,237
05-05-2024 22:15,103,289,243
05-05-2024 22:30,107,297,257
05-05-2024 22:45,110,302,267
05-05-2024 23:00,114,308,280
05-05-2024 23:15,115,310,283
05-05-2024 23:30,121,321,301
05-05-2024 23:45,119,316,297
06-05-2024 00:00,118,315,293
06-05-2024 00:15,115,310,283
06-05-2024 00:30,109,299,263
06-05-2024 00:45,104,291,247
06-05-2024 01:00,102,288,240
06-05-2024 01:15,99,283,233
06-05-2024 01:30,98,281,231
06-05-2024 01:45,97,281,231
06-05-2024 02:00,97,280,230
06-05-2024 02:15,91,274,224
06-05-2024 02:30,84,268,218
06-05-2024 02:45,84,267,217
06-05-2024 03:00,85,268,218
06-05-2024 03:15,84,267,217
