CreatedDate,Pm2.5,Pm10
21-04-2024 05:00,51,None
21-04-2024 06:00,62,None
21-04-2024 07:00,69,None
21-04-2024 08:00,95.5,None
21-04-2024 09:00,84.5,None
21-04-2024 10:00,78.75,None
21-04-2024 11:00,59,None
21-04-2024 12:00,33.33,None
21-04-2024 13:00,23,None
21-04-2024 14:00,19,None
21-04-2024 15:00,16.25,199
21-04-2024 16:00,16.75,185.25
21-04-2024 17:00,16.25,134.75
21-04-2024 18:00,17.25,112.5
21-04-2024 19:00,19.5,137.25
21-04-2024 20:00,25.25,169
21-04-2024 21:00,37,206.25
21-04-2024 22:00,64.5,264.75
21-04-2024 23:00,73.25,293.75
22-04-2024 00:00,65.5,269
22-04-2024 01:00,59,200.75
22-04-2024 02:00,66,217
22-04-2024 03:00,64.5,274
22-04-2024 04:00,25.5,321
22-04-2024 05:00,24.75,74
22-04-2024 06:00,8.75,41.75
22-04-2024 07:00,10,44.75
22-04-2024 08:00,20.5,136
22-04-2024 09:00,40,287.25
22-04-2024 10:00,60.75,190.5
22-04-2024 11:00,61.5,196
22-04-2024 12:00,37.5,140.5
22-04-2024 13:00,29,119
22-04-2024 14:00,17.75,95.25
22-04-2024 15:00,20.75,101.25
22-04-2024 16:00,21.25,109
22-04-2024 17:00,16,80.25
22-04-2024 18:00,16.75,70.5
22-04-2024 19:00,18.75,94.25
22-04-2024 20:00,20.25,133.25
22-04-2024 21:00,32,176.75
22-04-2024 22:00,54.75,264.75
22-04-2024 23:00,83.5,376.5
23-04-2024 00:00,98.75,404.25
23-04-2024 01:00,96,329.75
23-04-2024 02:00,99,279.25
23-04-2024 03:00,102.75,219
23-04-2024 04:00,110.75,248.5
23-04-2024 05:00,101,262.25
23-04-2024 06:00,111.5,285.25
23-04-2024 07:00,155.5,478.5
23-04-2024 08:00,197.25,744.75
23-04-2024 09:00,180.5,570.25
23-04-2024 10:00,86.5,334.25
23-04-2024 11:00,70,300.25
23-04-2024 12:00,79,228.5
23-04-2024 13:00,77.5,238
23-04-2024 14:00,69,211.5
23-04-2024 15:00,52.75,186.75
23-04-2024 16:00,40.25,212.5
23-04-2024 17:00,39.25,334
23-04-2024 18:00,53.5,244
23-04-2024 19:00,88.5,52
23-04-2024 20:00,19.75,62.75
23-04-2024 21:00,27.75,102.25
23-04-2024 22:00,34.75,125
23-04-2024 23:00,31.75,134
24-04-2024 00:00,34,157.75
24-04-2024 01:00,35,177.5
24-04-2024 02:00,39,179.5
24-04-2024 03:00,52.25,172.75
24-04-2024 04:00,95.5,214.25
24-04-2024 05:00,156.25,282.75
24-04-2024 06:00,236,385.25
24-04-2024 07:00,272,466
24-04-2024 08:00,308.25,615.5
24-04-2024 09:00,236,481.75
24-04-2024 10:00,113.5,319.25
24-04-2024 11:00,73.5,275.25
24-04-2024 12:00,58,219
24-04-2024 13:00,62.5,210
24-04-2024 14:00,60.5,199.75
24-04-2024 15:00,38.25,159.75
24-04-2024 16:00,27.5,135
24-04-2024 17:00,19.75,137.5
24-04-2024 18:00,17,114
24-04-2024 19:00,12.5,104
24-04-2024 20:00,22.75,131
24-04-2024 21:00,46.75,216
24-04-2024 22:00,71.5,300.75
24-04-2024 23:00,87.25,392.25
25-04-2024 00:00,100.25,496.5
25-04-2024 01:00,113,466.25
25-04-2024 02:00,94.75,366.5
25-04-2024 03:00,94.5,299
25-04-2024 04:00,111.5,310.25
25-04-2024 05:00,180.75,368.75
25-04-2024 06:00,251.5,463
25-04-2024 07:00,259.5,551.75
25-04-2024 08:00,265.5,633.25
25-04-2024 09:00,288.5,620.25
25-04-2024 10:00,292.25,588
25-04-2024 11:00,184.25,414
25-04-2024 12:00,69.75,196.5
25-04-2024 13:00,28,134.25
25-04-2024 14:00,20.75,125.25
25-04-2024 15:00,16,131.5
25-04-2024 16:00,14,127
25-04-2024 17:00,16.75,110.75
25-04-2024 18:00,16.25,91.5
25-04-2024 19:00,18.25,104
25-04-2024 20:00,31.25,192.75
25-04-2024 21:00,66.25,443.5
25-04-2024 22:00,93.75,523.25
25-04-2024 23:00,126.75,537
26-04-2024 00:00,155.75,590
26-04-2024 01:00,98,376.25
26-04-2024 02:00,88.75,335.75
26-04-2024 03:00,88.25,318
26-04-2024 04:00,83.5,262.25
26-04-2024 05:00,68.75,200.75
26-04-2024 06:00,75.5,226.5
26-04-2024 07:00,99,314
26-04-2024 08:00,160.75,520
26-04-2024 09:00,175.75,512.25
26-04-2024 10:00,166,526.75
26-04-2024 11:00,118.75,421.25
26-04-2024 12:00,76.25,302
26-04-2024 13:00,48,203.75
26-04-2024 14:00,40,175.75
26-04-2024 15:00,32.75,163.25
26-04-2024 16:00,29,149.5
26-04-2024 17:00,27.5,128
26-04-2024 18:00,29,193
26-04-2024 19:00,45.75,381.75
26-04-2024 20:00,39.75,229.25
26-04-2024 21:00,33,197.75
26-04-2024 22:00,34.5,101.25
26-04-2024 23:00,39.75,134.5
27-04-2024 00:00,39.75,143.5
27-04-2024 01:00,33,118.25
27-04-2024 02:00,32.25,106.5
27-04-2024 03:00,30.25,114.25
27-04-2024 04:00,31.75,175.25
27-04-2024 05:00,37,199.5
27-04-2024 06:00,47,202.25
27-04-2024 07:00,49.25,174.5
27-04-2024 08:00,48,209.75
27-04-2024 09:00,60.25,254
27-04-2024 10:00,85.25,434.5
27-04-2024 11:00,73,416
27-04-2024 12:00,61.75,349
27-04-2024 13:00,58.5,312.5
27-04-2024 14:00,41,264.5
27-04-2024 15:00,36.25,254.5
27-04-2024 16:00,32.75,262
27-04-2024 17:00,38.75,336.25
27-04-2024 18:00,42,330.75
27-04-2024 19:00,44.25,291.75
27-04-2024 20:00,43.25,283.75
27-04-2024 21:00,49.5,281.75
27-04-2024 22:00,58.75,290
27-04-2024 23:00,65,300.75
28-04-2024 00:00,58.75,267.75
28-04-2024 01:00,30.5,146.5
28-04-2024 02:00,28.75,120.75
28-04-2024 03:00,28.5,103
28-04-2024 04:00,31.25,105.75
28-04-2024 05:00,36.25,116.75
28-04-2024 06:00,40.5,158.5
28-04-2024 07:00,46.75,174
28-04-2024 08:00,61,177
28-04-2024 09:00,59.5,214.25
28-04-2024 10:00,56.75,202.75
28-04-2024 11:00,59.75,230
28-04-2024 12:00,51.25,200.5
28-04-2024 13:00,42.25,181.25
28-04-2024 14:00,30.75,172
28-04-2024 15:00,28.5,164.5
28-04-2024 16:00,24.25,153.25
28-04-2024 17:00,26.5,158.75
28-04-2024 18:00,30.25,156.5
28-04-2024 19:00,29.25,168.25
28-04-2024 20:00,43.25,250.75
28-04-2024 21:00,72,402.5
28-04-2024 22:00,70.75,333.25
28-04-2024 23:00,85.75,390.25
29-04-2024 00:00,86.25,349.5
29-04-2024 01:00,80.25,305.25
29-04-2024 02:00,80,281
29-04-2024 03:00,82.75,284
29-04-2024 04:00,77.25,237.25
29-04-2024 05:00,72.5,206.5
29-04-2024 06:00,76.5,237.5
29-04-2024 07:00,91,353
29-04-2024 08:00,126.25,492.5
29-04-2024 09:00,176,550.25
29-04-2024 10:00,174.75,417
29-04-2024 11:00,95.75,315.25
29-04-2024 12:00,57.5,221.25
29-04-2024 13:00,53,228
29-04-2024 14:00,53.5,210.75
29-04-2024 15:00,56,222
29-04-2024 16:00,59.5,267.75
29-04-2024 17:00,55.75,339
29-04-2024 18:00,37.75,346.25
29-04-2024 19:00,31,226.25
29-04-2024 20:00,32.75,207.75
29-04-2024 21:00,38,213
29-04-2024 22:00,118,194
29-04-2024 23:00,98.25,187.25
30-04-2024 00:00,39.25,176.25
30-04-2024 01:00,40.25,193.5
30-04-2024 02:00,41,156
30-04-2024 03:00,53.5,141.75
30-04-2024 04:00,95,166.25
30-04-2024 05:00,104,206
30-04-2024 06:00,97,215.25
30-04-2024 07:00,109,264.5
30-04-2024 08:00,141.75,377.25
30-04-2024 09:00,181,492.75
30-04-2024 10:00,143,372.75
30-04-2024 11:00,69.25,266.25
30-04-2024 12:00,50.25,234.25
30-04-2024 13:00,35.25,219.25
30-04-2024 14:00,33.25,203.25
30-04-2024 15:00,34.5,219
30-04-2024 16:00,34.75,220
30-04-2024 17:00,30.5,200.25
30-04-2024 18:00,28.75,205.25
30-04-2024 19:00,39,196.75
30-04-2024 20:00,72,248.5
30-04-2024 21:00,73.5,277
30-04-2024 22:00,88,335.25
30-04-2024 23:00,121.5,503.75
